inclusion nb ; x ; y ; z
51 ; 0.0888878 ; 0.0665361 ; 0.0359456
51 ; -0.0111122 ; 0.0665361 ; 0.0359456
52 ; 0.120435 ; 0.0847593 ; 0.0205818
52 ; 0.0204347 ; 0.0847593 ; 0.0205818
53 ; 0.0220633 ; 0.0135604 ; 0.00896924
53 ; 0.122063 ; 0.0135604 ; 0.00896924
54 ; 0.0758502 ; 0.0267946 ; 0.0918383
55 ; 0.0963616 ; -0.00468581 ; 0.0437226
55 ; 0.0963616 ; 0.0953142 ; 0.0437226
55 ; -0.00363841 ; 0.0953142 ; 0.0437226
56 ; 0.0583291 ; 0.0622366 ; 0.0154822
57 ; 0.106978 ; 0.0512774 ; 0.0448712
57 ; 0.00697797 ; 0.0512774 ; 0.0448712
58 ; 0.0331742 ; 0.0795201 ; 0.0437785
59 ; 0.122321 ; 0.042513 ; 0.0628029
59 ; 0.0223214 ; 0.042513 ; 0.0628029
60 ; 0.102168 ; 0.0146446 ; 0.0721586
60 ; 0.0021685 ; 0.0146446 ; 0.0721586
61 ; 0.0711358 ; 0.00918504 ; -0.00582895
61 ; 0.0711358 ; 0.00918504 ; 0.0941711
62 ; 0.0467676 ; 0.0273481 ; 0.034873
63 ; 0.001708 ; 0.00120802 ; 0.0625158
63 ; 0.101708 ; 0.00120802 ; 0.0625158
63 ; 0.001708 ; 0.101208 ; 0.0625158
63 ; 0.101708 ; 0.101208 ; 0.0625158
64 ; 0.106948 ; 0.0313152 ; 0.0229773
64 ; 0.0069484 ; 0.0313152 ; 0.0229773
65 ; 0.0489902 ; 0.0315624 ; 0.0850914
66 ; -0.0126511 ; 0.0200122 ; 0.00499475
66 ; 0.0873489 ; 0.0200122 ; 0.00499475
67 ; 0.0253509 ; 0.0588356 ; 0.0806843
68 ; 0.0807326 ; 0.0912345 ; 0.0287291
69 ; -0.0107587 ; 0.0080426 ; 0.0284681
69 ; 0.0892413 ; 0.0080426 ; 0.0284681
69 ; -0.0107587 ; 0.108043 ; 0.0284681
69 ; 0.0892413 ; 0.108043 ; 0.0284681
70 ; 0.0329898 ; 0.0508613 ; 0.0554576
71 ; 0.0191229 ; 0.0264542 ; 0.0562357
71 ; 0.119123 ; 0.0264542 ; 0.0562357
72 ; 0.0258846 ; 0.0495934 ; 0.0789631
73 ; 0.0759869 ; 0.0389959 ; 0.0497874
