inclusion nb ; Z rotation ; theta ; phi ; rotMat11 ; rotMat12 ; rotMat13 ; rotMat21 ; rotMat22 ; rotMat23 ; rotMat31 ; rotMat32 ; rotMat33
14  ;  0 ; 45.6934 ; 23.7653 ; 0.639268 ; -0.402992 ; 0.654931 ; 0.281489 ; 0.915204 ; 0.288386 ; -0.715612 ; 0 ; 0.698498
14  ;  0 ; 45.6934 ; 23.7653 ; 0.639268 ; -0.402992 ; 0.654931 ; 0.281489 ; 0.915204 ; 0.288386 ; -0.715612 ; 0 ; 0.698498
15  ;  0 ; 81.8249 ; 10.0941 ; 0.139997 ; -0.175265 ; 0.974517 ; 0.0249223 ; 0.984521 ; 0.173484 ; -0.989838 ; 0 ; 0.142198
15  ;  0 ; 81.8249 ; 10.0941 ; 0.139997 ; -0.175265 ; 0.974517 ; 0.0249223 ; 0.984521 ; 0.173484 ; -0.989838 ; 0 ; 0.142198
16  ;  0 ; 89.6619 ; 117.967 ; -0.00276742 ; -0.883216 ; -0.468959 ; 0.00521194 ; -0.468967 ; 0.8832 ; -0.999983 ; 0 ; 0.00590109
16  ;  0 ; 89.6619 ; 117.967 ; -0.00276742 ; -0.883216 ; -0.468959 ; 0.00521194 ; -0.468967 ; 0.8832 ; -0.999983 ; 0 ; 0.00590109
17  ;  0 ; 94.3738 ; 175.428 ; 0.07602 ; -0.079709 ; -0.993915 ; -0.00607882 ; -0.996818 ; 0.0794769 ; -0.997088 ; 0 ; -0.0762627
18  ;  0 ; 94.1216 ; 160.725 ; 0.067845 ; -0.330103 ; -0.941504 ; -0.0237258 ; -0.943945 ; 0.329249 ; -0.997414 ; 0 ; -0.0718739
18  ;  0 ; 94.1216 ; 160.725 ; 0.067845 ; -0.330103 ; -0.941504 ; -0.0237258 ; -0.943945 ; 0.329249 ; -0.997414 ; 0 ; -0.0718739
19  ;  0 ; 115.833 ; 166.687 ; 0.424033 ; -0.230268 ; -0.875884 ; -0.100338 ; -0.973127 ; 0.207258 ; -0.900071 ; 0 ; -0.435743
19  ;  0 ; 115.833 ; 166.687 ; 0.424033 ; -0.230268 ; -0.875884 ; -0.100338 ; -0.973127 ; 0.207258 ; -0.900071 ; 0 ; -0.435743
19  ;  0 ; 115.833 ; 166.687 ; 0.424033 ; -0.230268 ; -0.875884 ; -0.100338 ; -0.973127 ; 0.207258 ; -0.900071 ; 0 ; -0.435743
20  ;  0 ; 78.3189 ; 2.68071 ; 0.202243 ; -0.0467702 ; 0.978218 ; 0.00946928 ; 0.998906 ; 0.0458015 ; -0.97929 ; 0 ; 0.202464
20  ;  0 ; 78.3189 ; 2.68071 ; 0.202243 ; -0.0467702 ; 0.978218 ; 0.00946928 ; 0.998906 ; 0.0458015 ; -0.97929 ; 0 ; 0.202464
