inclusion nb ; volume ; surface
68 ; 9.49023e-07 ; 0.000785398
69 ; 1.16991e-07 ; 0.000160066
69 ; 7.18379e-07 ; 0.000610213
69 ; 1.13549e-07 ; 0.000148004
69 ; 3.75533e-11 ; 1.2774e-06
70 ; 9.49023e-07 ; 0.000785398
71 ; 8.87229e-07 ; 0.000744509
71 ; 6.17114e-08 ; 8.40406e-05
72 ; 9.49023e-07 ; 0.000785398
73 ; 9.44913e-07 ; 0.000783568
73 ; 4.10881e-09 ; 2.21494e-05
74 ; 9.49023e-07 ; 0.000785398
75 ; 6.78533e-07 ; 0.000575849
75 ; 2.7039e-07 ; 0.000249301
76 ; 9.49023e-07 ; 0.000785398
77 ; 5.30147e-08 ; 0.000104537
77 ; 1.76134e-07 ; 0.000175986
77 ; 7.04291e-07 ; 0.000608818
77 ; 1.55667e-08 ; 4.9933e-05
78 ; 4.09834e-07 ; 0.000371628
78 ; 5.39942e-07 ; 0.000475366
79 ; 7.60558e-07 ; 0.000641394
79 ; 1.88349e-07 ; 0.000183592
80 ; 2.69251e-07 ; 0.000249036
80 ; 6.79661e-07 ; 0.000577389
81 ; 9.49023e-07 ; 0.000785398
82 ; 8.50142e-07 ; 0.00071309
82 ; 9.87857e-08 ; 0.000111947
83 ; 7.29585e-07 ; 0.00061692
83 ; 2.19324e-07 ; 0.00020868
84 ; 2.83741e-07 ; 0.000325246
84 ; 5.32507e-07 ; 0.000533309
84 ; 1.33635e-07 ; 0.000141221
85 ; 9.49023e-07 ; 0.000785398
86 ; 9.4607e-07 ; 0.000784107
86 ; 2.95197e-09 ; 1.88524e-05
87 ; 9.49023e-07 ; 0.000785398
88 ; 4.10817e-07 ; 0.000363007
88 ; 5.38107e-07 ; 0.000464844
89 ; 1.54452e-07 ; 0.000259865
89 ; 3.37402e-07 ; 0.000302879
89 ; 4.57238e-07 ; 0.000468339
90 ; 6.56715e-08 ; 0.000113979
90 ; 8.83335e-07 ; 0.000757303
91 ; 8.52463e-07 ; 0.000760323
91 ; 9.64733e-08 ; 0.000302176
92 ; 9.48928e-07 ; 0.00078536
92 ; 9.52393e-11 ; 3.44729e-06
93 ; 7.07951e-07 ; 0.000600729
93 ; 2.40981e-07 ; 0.000227119
94 ; 9.49023e-07 ; 0.000785398
95 ; 4.49833e-08 ; 7.55245e-05
95 ; 3.89315e-08 ; 0.000103398
95 ; 4.32577e-08 ; 7.7359e-05
95 ; 8.21928e-07 ; 0.000703882
96 ; 3.95538e-09 ; 2.17432e-05
96 ; 9.45067e-07 ; 0.00078364
97 ; 9.49023e-07 ; 0.000785398
98 ; 7.84489e-07 ; 0.00066042
98 ; 1.64418e-07 ; 0.000164323
99 ; 7.04293e-08 ; 8.91478e-05
99 ; 8.78475e-07 ; 0.000735637
100 ; 9.49023e-07 ; 0.000785398
101 ; 9.49023e-07 ; 0.000785398
102 ; 6.88012e-07 ; 0.000583584
102 ; 2.60898e-07 ; 0.000241867
103 ; 9.49023e-07 ; 0.000785398
104 ; 9.49023e-07 ; 0.000785398
105 ; 5.77269e-08 ; 7.89262e-05
105 ; 8.91177e-07 ; 0.000745741
