inclusion nb ; volume ; surface
1 ; 1.33644e-05 ; 0.00494587
1 ; 3.59442e-05 ; 0.00895322
1 ; 1.42788e-05 ; 0.00539016
1 ; 3.8261e-05 ; 0.00934097
2 ; 1.42885e-05 ; 0.00467274
2 ; 2.16542e-05 ; 0.00758452
2 ; 2.57555e-05 ; 0.00725216
2 ; 4.05087e-05 ; 0.00967307
3 ; 4.02491e-05 ; 0.0104466
3 ; 5.13631e-05 ; 0.0113092
